Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
10,1,0,0.242411597496914,0.4,3905,32,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.275157169048258,0.5,3479,26,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.285748983278087,0.8,2249,17,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.308385288069362,1,1743,14,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,0,0.308469881121416,2,1350,8,1341,1030.92356300521,0.02171508294903,47475,0.02824644549763
10,1,1,0,0,89099,15341,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.010458619319551,0.0002,37791,6597,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.131843738485754,0.05,15060,239,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.167224460422468,0.1,14720,122,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.22408233866339,0.2,10663,62,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.259531698371021,0.25,9421,50,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.320576440314948,0.4,6603,32,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.352156746060712,0.5,5124,26,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.365126030662601,0.8,2363,17,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.374413908070417,1,3201,14,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
10,1,1,0.415225214182603,2,2300,8,1790,1390.7293372892,0.029293930221995,47475,0.037704054765666
11,0,0,0,1,14523,15341,395,278.66560033569,0.027536126515384,10120,0.03903162055336
11,0,0,0.001876605482502,2,9824,7671,395,278.66560033569,0.027536126515384,10120,0.03903162055336
